it	lr	l_train	l_test	e_test	e_test_s	e_test_p	
24372	0.00100	3.18376	33441.66497	277.27307	89.71929	61.11218	
48744	0.00100	1.45386	31370.56467	268.00027	79.53280	56.50072	
73116	0.00100	1.38774	25766.62769	241.05823	73.39891	53.75280	
97488	0.00100	1.33116	20850.43196	215.20526	71.59105	53.21313	
121860	0.00096	1.27639	14544.51772	175.43459	68.53955	51.84666	
146232	0.00096	1.25345	10324.16353	144.72987	66.48592	50.70763	
170604	0.00096	1.24090	7788.39008	124.07790	66.35726	50.53382	
194976	0.00096	1.23153	6061.11248	107.61303	67.09539	50.87517	
219348	0.00092	1.22313	6039.34550	105.30507	65.04745	49.60217	
243720	0.00092	1.21582	6206.36739	105.06824	65.05973	49.44121	
268092	0.00092	1.21022	7549.78311	114.02800	67.95329	51.37505	
292464	0.00092	1.20566	10502.04803	133.23013	67.19520	50.29411	
316836	0.00088	1.20071	13984.05533	153.48589	67.39203	50.44695	
341208	0.00088	1.19671	14124.40761	153.96643	64.61580	49.06307	
365580	0.00088	1.19273	17564.07556	172.82932	65.71531	49.76270	
389952	0.00088	1.19167	20395.32220	189.92108	65.12809	49.20629	
414324	0.00085	1.18811	25787.00177	214.06551	64.95472	49.15183	
438696	0.00085	1.18527	27189.28409	221.69867	65.38883	49.27512	
463068	0.00085	1.18175	32207.21216	243.72963	65.57158	49.76554	
487440	0.00085	1.17969	38173.47554	268.91849	65.05698	48.90594	
511812	0.00082	1.17670	38673.18512	271.59317	66.55016	50.06682	
536184	0.00082	1.17475	41104.53391	278.01743	65.16254	49.14648	
560556	0.00082	1.17161	49196.90344	307.47540	65.93899	49.40283	
584928	0.00082	1.17085	54897.48619	327.83463	65.11013	49.32793	
609300	0.00078	1.16878	59687.15078	342.38348	64.57603	48.97424	
